Misconception,Misconception ID,Topic,Example Number,Question,Incorrect Answer,Correct Answer,Question image,Learner Answer image,Correct Answer image,Source,Explanation
"when students wrongly position the decimal in multiplication by counting from the left, not the right",MaE20,Number Operations,2,21.8*.4=?,"21.8
x .4
-------
87.2",8.72,,,,"Ashlock (2006)
p. 176",
"when students mistakenly add two negative numbers, yielding a positive sum, particularly in equations with variables",MaE32,Properties of number and operations,4,-8-3=x,x=11,x=-11,,,,"Bishop et. al. (2016)
p. 87",
when students are unsure of the correct sign when adding positive and negative numbers,MaE18,Number Operations,4,4+-3=,4+-3=7,1,,,,"Ashlock, 2006",
"when students incorrectly scale both numerator and denominator by the same whole number, effectively multiplying the fraction by 1 instead of the intended whole number",MaE13,Number Operations,4,3/8*4=,3/8*4=(3*4)/(8*4)=12/32,12/8=3/2,,,,"Ashlock (2006)
p. 173",
"when students misunderstand the equal sign as indicating ""the answer is"" rather than representing a relationship between quantities",MaE51,Equations and inequalities,3,"For the following expressions, answer:
What do the equal signs tell us?
Which is more, one third or four twelfths?
1/3 = 4/12 
+
1/4 = 3/12 
1/3 + 1/4 = 7/12","The equal signs tell us ... that you just do the answer.
Is one third more than four twelfths? .... no ...",The equal signs tell us that both expressions at each side are equivalent to each other. One third is equal to four twelfths.,,,,Ashlock (2006),
when students find common denominators but wrongly keep the original numerators unchanged,MaE09,Number Operations,4,Add 3/4+1/2=?,"3/4=3/4
1/2=1/4
3/4+1/4=4/4",5/4,,,,"Ashlock, 2006","The learner is able to determine the least common denominator, and she uses it when changing two factions so they will have the same denominator. However, she merely copies the original numerator. Apparently, she is able to add like fractions correctly."
"When students multiply the numerator of the first fraction by the denominator of the second fraction, they write down only the unit digit of this product and mistakenly save the tens digit for later use, then they multiply the denominator of the first fraction by the numerator of the second one and add the saved tend digit, obtaining an integer number instead of a fraction.",MaE12,Number Operations,4,2/3*4/6=,2/3*4/6=132,4/9,,,,Ashlock (2006),
"when students incorrectly perform operations from left to right, neglecting the proper order of operations",MaE34,Properties of number and operations,2,Solve: 17-3*5=,17-3*5=14*5=70,2,,,,"Linchevski, L., & Livneh, D. 1999
p. 7","The learner just solved the operations left to right, ignoring the priority of multiplication over addition"
when students struggle to grasp the concept of independent and dependent variables,MaE44,Algebraic representations,3,"Mary's basic wage is $20 per week. She is also paid another $2 for each hour of over-time she works.
Could you use a formula to find out how much over time Mary would have to work to earn a total wage of $50","I don't think so. It is guess and check....  You could do it in your head. It would be $30 the overtime, because 20 plus 30 equals 50. So  she would have to work 15 overtime hours, because 30 divided by 2 is 15.","Yes, it is possible to use a formula to find out how much over time Mary would have to work, the equation is: 50 = 20 + 2H",,,,Swafford & Langrall (2000),"Instead of using their equations, most of the students used mental mathematics strategies or extended tables to solve problems that could have been solved by using an equation, because they did not identify the variables involved in the problem
"
when students struggle to grasp the concept of independent and dependent variables,MaE44,Algebraic representations,4,Let N represent the number of squares along one edge of a grid and let B represent the number of squares in the border. Write an equation for finding the number of squares in the border. Can you use your equation to find the size of a grid with a border that contains 76 squares?,"n*4 - 4 = b
Well, I thought just to divide 76 by 4 would be too complicated, so I subtracted the 4 from that... No, wait, I added the 4 because that would be the reverse of the formula. and then I got 80. And then I divided that by 4 and got 20","B=4(N-1)
B=4(76-1)=4(75)=300",,,,"Swafford & Langrall (2000)
p. 6, 17",Some students used the same reversing process but did not associate it with their equation because they did not identify the variables involved in the problem
when students find common denominators but wrongly keep the original numerators unchanged,MaE09,Number Operations,1,Add 1/2+1/4=?,"1/2 = 1/4
+      +
1/4 = 1/4
 ----     ----
          2/4",3/4,,,,"Ashlock, 2006",The learner did not find a correct equivalent fraction for 1/2 expressed as fourths
when students incorrectly add or subtract fractions by summing both numerators and denominators separately,MaE08,Number Operations,3,Find the sum of 5/12 and 3/8,5/12+3/8=(5+3)/(12+8)=8/20,19/24,,,,"Brown, G., & Quinn, R. J. (2006)
p. 3",The learner added the numerator and the denominators
"when students confuse linear relationships with direct proportions, believing that because a linear function increases or decreases at a constant rate, it must be a direct proportion.",MaE42,"Patterns, relationships, and functions",3,"Two carnivals are coming to town. You and your friend decide to go to different carnivals. The carnival that you attend charges $10 to get in and an additional $2 for each ride. The carnival your friend attends charges $6 to get in, but each additional ride costs $3. If the two of you spent the same amount of money, how many rides could each of you have ridden?","If we spent the same amount of money, then I can calculate the money spent by each one, until it is equal and so I get the rides.
Rides | Money I spent | Money spent by my friend
1       |             2          |                      3                 
  2       |             4          |                      6                   
  3       |             6          |                      9                   
I would have ridden 3 rides, and my friend would have ridden 2 rides","For my carnival, the total cost is: 10+2x
For my friend's carnival, the total cost is: 6+3y
As we spent the same money: 10+2x=6+3y
There are two possible solutions: If I took 1 ride, my friend took 2 rides. If I took 4 rides, my friend took 4 rides.",,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. (2001)
p. 291",
"when students struggle to connect different representations of the same function (graph, equation, table).",MaE41,"Patterns, relationships, and functions",3,"For the function f(x)=2x^2+3x-1, (a) make a sketch of the graph of the function's inverse (b) make a table of data points that represents the inverse function, and (c) find the explicit equation for the inverse function","(a) 
y  |  x
0  |   
(b)
??
(c)
2x^2+3x-1=0
 x=[-3+-[9-4(2)(-1)]^(1/2)]÷[(2)(2)]=[-3+-(17^(1/2))]÷4","(a) The sketch of the graph of the function's inverse is a curve representing a square root.
(b) Same data table for the original function, with the variables inverted.
  y  |  x
 19  |  -4
   1  |  -2
  -1  | 0  
 13 | 2 
43 | 4
These points can be used to sketch the graph
The inverse function for a quadratic is a square root function:
f(x)=y=2x^2+3x+1
x=[(1/2)y+(1/16)]^(1/2)-(3/4)
f^-1(x)=[(1/2)y+(1/16)]^(1/2)-(3/4)",,MaE41-Ex3LA,MaE41-Ex3CA,"Bair, S. L., & Rich, B. S.  2011
p. 14","The learner confused the data table with the graph, and did not have any idea on how to make the sketch of the graph of the function's inverse. Instead of finding the equation of the inverse function of f(x), the learner used the general equation trying to solve the quadratic function, which shows a lack of understanding of the formula representation of a function and its inverse"
when students confuse fixed scaling (absolute) with ratio comparisons (relative) in proportional relationships.,MaE23,Ratios and proportional reasoning,1,"At ARCO, gas sells for $1.13 per gallon. This is 5 cents less per gallon than gas at Chevron. How much does 5 gallons of gas cost at Chevron?","($1.13/gallon)*(5 gallons)=$5.65
$5.65-$0.05=$5.60","$1.13+$0.05=$1.18
5 gallons*$1.18/gallon=$5.90
5 gallons cost $5.9 at Chevron",,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. (2001)
p. 125","The learner thought about the proportionality relative to the cost of the gas at ARCO, focusing on specific numbers and keywords such as $1.13, 5 cents, less, and 5 gallons, rather than the relationships among the quantities"
"when students struggle to discern the three types of percent problems, relying solely on ""percent times a number equals percentage"" rule",MaE30,Ratios and proportional reasoning,1,Fifteen percent of what number is 240?,"240*0.15=36.00
36",1600,,,,"Ashlock (2006)
p. 188",
"when students extend quotients with remainders as decimals, if division isn't exact within the dividend's digits",MaE22,Number Operations,3,38.6÷4=?,[Image],9.65,,MaE22-Ex3LA,,"Ashlock (2006)
p. 177","Some students, having studied division with decimals, try to add digits to the quotient when dividing whole numbers; after taking as far as digits given in the dividend, they write the reminder as an extension of the quotient after a decimal point."
when students confuse fixed scaling (absolute) with ratio comparisons (relative) in proportional relationships.,MaE23,Ratios and proportional reasoning,4,Consider two marigolds that were 8 inches and 12 inches tall two weeks ago and 11 inches and 15 tall inches now. Write a ratio to represent the growth of each one and tell: Which plant grew more compared to its initial height?,"Each plant grew the same, 3 inches","The shorter plant grew 3/8 of its original height, while the larger plant grew less, just 3/12 of its original height",,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. 2001
p. 264","The learner compared how each plant grew relatively to the plant itself (relative proportion), but the instruction was to write a ratio to represent the growth of each plant and compare them"
"When students multiply the numerator of the first fraction by the denominator of the second fraction, they write down only the unit digit of this product and mistakenly save the tens digit for later use, then they multiply the denominator of the first fraction by the numerator of the second one and add the saved tend digit, obtaining an integer number instead of a fraction.",MaE12,Number Operations,3,1/2*3/8=,1/2*3/8=68,3/16,,,,Ashlock (2006),
"when students incorrectly assume two variables in an equation must represent distinct numerical values, rather than potentially representing the same expression",MaE47,"Variables, expressions, and operations",4,"Will different solutions be obtained from the following equations?
7w+22=109
and
7n+22=109",Can't tell until both equations are solved.,"Of course, the solution is the same",,,,"Herscovics, N., & Kieran, C.  (1980)
p. 2",The learner's answer implies that w and n can't represent the same number
"when students wrongly divide fractions by splitting numerators and denominators into separate divisions, ignoring remainders",MaE14,Number Operations,3,6/10÷2/4=?,6/10÷2/4=3/2,6/5,,,,"Ashlock (2006)
p. 174","When Linda divides with fractions, her answers are sometimes correct, but frequently they are not. She does not appear to be using good number sense and estimating skills. If she were, she might think, for example, ""How many halves (2/4) are in about one half (6/10)? There should be about one, not one and one half (3/2)."""
"when students misunderstand how to identify and use equivalent forms of ratios, including fractions and decimals",MaE26,Ratios and proportional reasoning,3,"Greg conducts a survey of 100 classmates to determine their favorite fruits. The results of the survey are shown in a circle graph that contains the following data: 
Orange - 17%
Apple - 36%
Grape - 15%
Banana - 23%
Kiwi - 9%
Which two fruits represent 2/5 of the students' favorites?",I guess grapes and Kiwi,Orange and Banana (17%+23%=40%=2/5),,,,"Bush 2011
p. 188",Students had to understand that 2/5 converts to 40% and then add to find the two fruits whose percentage totaled 40%. One interesting finding was that some students found the two fruits whose sum was approximately 25% (grapes and kiwi) or 50% (apples and grapes) of the total. Perhaps this meant that they believed that 25% or 50% was  equivalent to 2/5. This was categorized as not understanding the value of a fraction and not understanding the size of a ratio
when students struggle to grasp the concept of independent and dependent variables,MaE44,Algebraic representations,2,"In some states, a deposit is charged on aluminum pop cans and is refunded when the cans are returned. In New York, the deposit is 5 cents a can.
What would be the refund for returning 6 (10 or 12) cans?
Describe how the store owner would figure the amount of refund for any number of returned cans.","For 6 cans, the refund would be 30 cents, 50 cents for 10 and 60 cents for 12.
The store owner would have to add as plenty of times the 5 cents per can, according to the total amount of cans. For example, for 6 cans I added: 5 + 5 + 5 + 5 + 5 + 5 = 30 cents
It depends on the refund he wants to obtain, the amount of cans he has to return.","refund = 5x, (being x the amount of cans)
6 cans: 30 cents, 10 cans: 50 cents, 12 cans: 60 cents
The owner has to multiply the amount of cans times the 5 cents for each one, as in the equation provided, for the refund obtained depends on the amount of returned cans",,,,Swafford & Langrall (2000),"The learner is thinking additively, because of a confusion among the variables: the students lacks understanding the concepts of the independent and dependent variables in this problem, not relating the dependency of the refunded money to the amount of returned cans"
"when students incorrectly scale both numerator and denominator by the same whole number, effectively multiplying the fraction by 1 instead of the intended whole number",MaE13,Number Operations,3,4/5*2=,4/5*2=(4*2)/(5*2)=8/10,8/5,,,,"Ashlock (2006)
p. 173",
when students struggle to grasp the concept that a linear function represents a consistent rate of change,MaE38,"Patterns, relationships, and functions",2,The clown walks 10 centimeters in 4 seconds. How far will the frog walk in 8 seconds if the frog travels at the same speed as the clown?,"Clown: 10/4
Frog: 20/8
The frog is actually going faster than the clown because is going farther. Both numbers on the frog’s “side” of the proportion are bigger than the corresponding numbers on the clown’s side","For this linear function, we use the slope to calculate the distance the frog walks: 20 cm",,,,"Lobato, 2010
p. 66","This is a case of univariate reasoning and an example of whole number reasoning, as students don't conceive that something in the situation remains the same while the distance and time values are changing, not connecting thence linearity with proportionality"
"when students misunderstand numerical exponent patterns, resorting to computation instead of recognizing generalizable patterns.",MaE03,Number sense,3,5^-2=?,5^-2=5*10^-2,0.05,,,,"Farah (1993)
p.11","The learner has the wrong idea that ""we can write any number in the form of a power of 10, by writing the base times ten at the negative number. This rule applies always to negative powers. Another example is: 15^-6=15*10^-6"""
when students incorrectly apply a single proportion formula to all percentage problems: (smaller value)/(larger value) = (x/100),MaE29,Ratios and proportional reasoning,2,Brad earned $400 during the summer and saved $240 from his earnings. What percent of his earnings did he spend?,"(240/400)=(x/100)
60%",40%,,,,"Ashlock (2006)
p. 187","Sara is solving correctly the proportion she writes for the problem. However, she uses a procedure that often does not accurately represent the ratios described in the problem. She is using the following proportion for every problem encountered:
(lesser number in the problem)/(greater number in the problem)=x/100"
"when students mistakenly position the decimal point left of the sum, assuming units and tenths combine separately",MaE16,Number Operations,1,0.8+0.4=,".8
+ .4
-------
     .12",0.8+0.4=1.2,,,,Ashlock (2006),
"when students struggle to accurately represent problems using graphical notation, misunderstanding the purpose of the representation",MaE36,"Patterns, relationships, and functions",2,The cafeteria staff prepares three kinds of sandwiches for the bus trip. They make 100 of each kind. How many sandwiches do they make all together?,"[The learner represented the problem with a bar graph, labeled on the vertical axis with numbers 1, 2, 3, 4, 5, 6. The first graph size is 4, the second bar seems to be size 6, the third bar is size 4, the fourth bar is size 3 and there are 4 more bars which sizes are not clear and their shapes are irregular. The learner wrote scribbles instead of a label on the x-axis]","[A graphic representation of three spots containing 100 sandwiches each, like: {100 tuna sandwiches} {100 jam sandwiches} {100 peanut butter sandwiches}]",,MaE36-Ex2LA,,"Scheuermann and van Garderen (2008)
p. 3",The Bar graph provided by the learner does not contain any information found in the problem and is a poor choice of representation
"when students struggle to recognize when to combine like terms, failing to add or subtract terms with the same variable, as in 4x+2x+x=7x",MaE55,Equations and inequalities,3,Solve: 5x+6x=110,"x=0
50+60=110",x=10,,,,"Ashlock, 2006",
when students mistakenly switch variables when transposing expressions involving subtraction,MaE45,"Variables, expressions, and operations",1,Write an algebraic expression to represent: Three less than a number.,3-x,x-3,,,,"Capraro, M. M., & Joffrion, H. (2006)
p. 7",
when students neglect to check their solutions or make errors during the checking process,MaE52,Equations and inequalities,2,"Solve for t:
t-24=23t
Check your answer","t-24=23t
-24=24t
-1=t
t=-1
Check:
-1-24=23*-1
-23=23*-1
OK","t=-12/11
Check:
-12/11-24=23(-12/11)
-25 1/11=-25 1/11",,,,"Perrenet & Wolters, 1994
p. 5",
"when students incorrectly invert the dividend instead of the divisor when dividing fractions, misunderstanding the 'invert and multiply' rule.",MaE15,Number Operations,1,2/3÷3/8=?,2/3÷3/8=3/2*3/8=9/16,16/9,,,,"Ashlock (2006)
p. 175",
"when students extend quotients with remainders as decimals, if division isn't exact within the dividend's digits",MaE22,Number Operations,4,8.24÷5=?,[Image],1.648,,MaE22-Ex4LA,,"Ashlock (2006)
p. 177",
"when students wrongly subtract mixed numbers by separately subtracting wholes, numerators, and denominators to form a new fraction",MaE11,Number Operations,2,4 5/8-1 3/4=,4 5/8-1 3/4=(4-1)+(5-3)/(8-4)=3 2/4,23/8,,,,Ashlock (2006),
"when students misunderstand algebraic terms and equations involving exponents, such as numerical bases raised to algebraic powers, or algebraic expressions raised to numerical or algebraic powers.",MaE04,Number sense,3,"Write an algebraic expression to represent: 
""Four times a number""",x^4,4x,,,,"Stacey and MacGregor, 1997b
p. 3",The learner confused an exponent with a factor
"when students struggle to discern the three types of percent problems, relying solely on ""percent times a number equals percentage"" rule",MaE30,Ratios and proportional reasoning,3,Seventy is 14% of what number?,"70*.14=9.8
9.8",500,,,,"Ashlock (2006)
p. 192","Steve's solutions are correct when he is finding the percent of a specified number. However, his solutions are incorrect when the percent is known and he needs to find a number or when he needs to find what percent one number is of a specified number. "
when students struggle to apply correct operations on ratios expressed as fractions,MaE25,Ratios and proportional reasoning,4,Reduce: (3+4)/2,4÷2+3=5,7/2,,,,"Brown, G., & Quinn, R. J. (2006) 
p. 7","The learner did not see the operation as a complex ratio or an addition of fractions with a common denominator, but instead saw it as a set of operations that can be solved in any order"
when students confuse fixed scaling (absolute) with ratio comparisons (relative) in proportional relationships.,MaE23,Ratios and proportional reasoning,3,"Which of the following drinks, C or D, will have a stronger apple taste?
a) Drink C: 3 cups apple, 5 cups water
b) Drink D: 5 cups apple, 7 cups water","b), because it has 5 apple, not 3","b), because 5/7>3/5. The concentration of apple is bigger in drink D",,,,"Lamon 2012
(no link)","The learners compared the drinks with a relative proportion, not absolute, which was the correct way to do it in this case"
when students struggle with forming and understanding algebraic expressions and equations.,MaE50,Equations and inequalities,1,There were three kinds of candy bars being sold at the concession stand during the Friday dance. There were 22 more Snickers bars sold than Kit Kat bars and there were 32 more Reese’s Peanut Butter Cups sold than Kit Kat bars. There were 306 candy bars sold in all. How many  of each kind of candy bar was sold?,"I'll use K for the Kit Kat bars, S for Snickers and P for Peanut Butter Cups.
K=S+22
P=K+32
P+k+S=306
If I divide 306 by 3, I get 102, there would be 102 bars of each if all were equal. Since there are more Kit Kats, I'll guess K=80.
P=80+32=112
80=S+22
80=58+22, S=58
P=112, K=80 and S=58
Checking: 112+80+58=250
Then, there are more Kit Kats...  My initial guess is wrong...","K+(K+32)+(K+22)=306
K=84
S=106
P=116",,,,"Baroudi (2006)
p. 4
","The Learner wrote incorrectly the syntax of the algebraic equation for snickers and, instead of writing one single equation, the learner wrote 3, from which one was not correctly stated, showing a difficulty with the syntax of algebraic notation
"
"when students misunderstand the equal sign as indicating ""the answer is"" rather than representing a relationship between quantities",MaE51,Equations and inequalities,2,"Is the number that goes in the [_] the same number in the following two equations?
2*[_]+15=31
2*[_]+15-9=31-9","Yes, the answer is 31 in both equations",The number that goes in the squares is the same for both equations and it equals 8,,,,"Asquith et al.  2007
p. 9",
when students struggle to apply correct operations on ratios expressed as fractions,MaE25,Ratios and proportional reasoning,2,"3:2=24:x
Find the value of x","32=24x
32/24=x
x=4/3",x=16,,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. 2011, p. 265","The learner did not identify that 3:2 is the same as 3/2 and 24:x is another ratio, the learner just removed the : in both cases
"
"when students misunderstand algebraic terms and equations involving exponents, such as numerical bases raised to algebraic powers, or algebraic expressions raised to numerical or algebraic powers.",MaE04,Number sense,4,Fold this piece of paper in half and then open it up. How many regions were made? Can you describe how many regions there would be for any number of folds?,2 regions folding once,Regions=2^n,,,,"Swafford and Langrall, 2000
p. 7, 12",Learners oversimplified the interpretation of the geometric function
when students inaccurately simplify fractions by guessing instead of dividing,MaE06,Number Operations,1,"Find an equivalent fraction for 3/8. If possible, simplify.",3/8=1/4,"3/8 can't be written in lower terms
Equivalent fraction: 3/8=6/16",,,,"Ashlock, 2006",
when students incorrectly drop extra decimal digits directly into their answer when subtracting uneven decimals,MaE17,Number Operations,3,$4-$.35,"$ 4 
-  $  .35
-----------
$ 4.35",$3.65,,,,Ashlock (2006),
when students struggle to grasp that variables can represent changing or varying quantities,MaE48,"Variables, expressions, and operations",3,"Can you tell which is larger, 2n or n+2? Please explain your answer","2n, because it is a multiplication","Can't tell, because for some n, 2n may equal or be less than n+2",,,,"Kuchemann 1978
p. 5",
"when students struggle to represent key aspects and relationships in patterns, as seen in attempts like graphical representations missing key components",MaE35,"Patterns, relationships, and functions",4,"Cody has 24 marbles. Joseph has 3 equal bags of marbles and 9 individual marbles. After Joseph took 9 marbles out of his bags and gave them to Ariana, Joseph and Cody had the same amount of marbles. How many marbles were in each of Joseph's bags?","[Graphic representation: Nine marbles taken out of the bag, Joseph and Cody's marbles are depicted as being equal sets, additional 9 marbles are shown as being removed]","The same pictorial representation provided by the learner, but including as well the return of 9 marbles taken out of the bag, division of the 24 marbles into 3 equal sets.",,MaE35-Ex4LA,MaE35-Ex4CA,"Scheuermann and van Garderen  (2008)
p. 7","The laerner's representation is missing the return of 9 marbles taken out of the bag, and the division of the 24 marbles into 3 equal sets."
"when students simplify just one of the terms in a fraction, either the numerator or the denominator",MaE07,Number Operations,1,Simplify the fraction 4/8,4/8=2/8,4/8=1/4,,,,"Ashlock, 2006","The learner simplified the numerator, but not the denominator"
"when students wrongly position the decimal in multiplication by counting from the left, not the right",MaE20,Number Operations,4,4.5*0.1=?,"4.5
x 0.1
---------
45.",0.45,,,,Ashlock (2006),
when students find it challenging to comprehend the various meanings and applications of variables,MaE49,Equations and inequalities,4,"Mary's basic wage is $20 per week. She is also paid another $2 for each hour of over-time she works.
If H stands for the number of hours of overtime Mary works and if W stands for her total wage, write an equation for finding Mary's total wage.","W=x+yH
Using one letter for each unknown is easier",W=20+2H,,,,"Swafford & Langrall  2000
p. 6","The learner just uses a different letter to represent each number, not identifying the constant values"
"when students struggle to accurately represent problems using graphical notation, misunderstanding the purpose of the representation",MaE36,"Patterns, relationships, and functions",3,Leroy bought some pants for a total cost of $24.03. The sales tax was $1.53. What was the price of the pants without the sales tax?,"[The student drew a paint (""pants"" spelled incorrectly) can to represent the mathematics problem]","[A drawing of some pants or jeans labeled ""$24.03"" and ""Tax $1.53"" and a representation in the diagram of the division with decimals: 24.03÷1.53=15.7 the prices without the tax was $15.7]",,MaE36-Ex3LA,,"Scheuermann and van Garderen (2013)
p. 3",The learner does not understand the purpose of the representation and drew a paint can instead of pants
"when students incorrectly assume two variables in an equation must represent distinct numerical values, rather than potentially representing the same expression",MaE47,"Variables, expressions, and operations",3,"Are these number sentences true or false?
a = a
c = r","The first sentence is true, the variable a has to be the same in the same problem. The second one must be false, because when a letter represents a number, usually each letter represents a different number, not the same ones.","c=r could be true or false, depending on the values of these variables",,,,"Stephens (2005)
p. 1",
"when students misunderstand the equal sign as indicating ""the answer is"" rather than representing a relationship between quantities",MaE51,Equations and inequalities,4,"Students were shown the following equation on a balance: 5n+3n+11=5n+11+39 and asked if they noticed any equal terms on both sides and if they thought those terms could be removed. Next, students were asked to solve the remaining equation, 3n=39. Once the equation was solved, n=13, students were asked if this solution was also true for the original equation, 5n+3n+11=5n+11+39",I'm not sure that the solution is true for the original equation,"""yes, it's true for the original equation""",,,,"L Linchevski, N Herscovics (1996)
p. 15",
when students are unsure of the correct sign when adding positive and negative numbers,MaE18,Number Operations,3,7+-2=,7+-2=-5,5,,,,"Ashlock, 2006",
"when students mistakenly position the decimal point left of the sum, assuming units and tenths combine separately",MaE16,Number Operations,2,6.7+8.5=,"6.7
+ 8.5
-------
14.12",15.2,,,,Ashlock (2006),
when students incorrectly apply a single proportion formula to all percentage problems: (smaller value)/(larger value) = (x/100),MaE29,Ratios and proportional reasoning,4,Barbara received a gift of money on her birthday. She spent 80% of the money on a watch. The watch cost her $20. How much money did she receive as a birthday gift?,"(20/80)=(x/100)
$25",$400,,,,"Ashlock (2006)
p. 187",
"when students incorrectly invert the dividend instead of the divisor when dividing fractions, misunderstanding the 'invert and multiply' rule.",MaE15,Number Operations,2,2/5÷1/3=?,2/5÷1/3=5/2*1/3=5/6,6/5,,,,"Ashlock (2006)
p. 175",
"when students struggle to recognize when to combine like terms, failing to add or subtract terms with the same variable, as in 4x+2x+x=7x",MaE55,Equations and inequalities,1,Solve: 2x+x=24,"x=2
22+2=24",x=8,,,,"Ashlock, 2006",
when students incorrectly drop extra decimal digits directly into their answer when subtracting uneven decimals,MaE17,Number Operations,2,24.8-2.26=?,"24.8
-   2.26
-----------
 22.66",22.54,,,,Ashlock (2006),
"when students wrongly divide fractions by splitting numerators and denominators into separate divisions, ignoring remainders",MaE14,Number Operations,4,7/5÷3/2=?,7/5÷3/2=2/2,14/15,,,,"Ashlock (2006)
p. 174",
when students struggle to apply correct operations on ratios expressed as fractions,MaE25,Ratios and proportional reasoning,1,"If 5 quarters can buy 100 candies, how many quarters can buy 80 candies? Express the quantities as ratios and solve.","1q --> 20 c
2q --> 40 c
3q --> 60 c
4q --> 80 c
There's no ratio in this problem","Ratio: (5 quarters/100 candies)=(? quarters/80 candies)
4 quarters",,,,"Ojose. B. 2015
p. 4","The learner obtained the correct answer at the end, but she did it by writing a sequence, with an iterative method, not by understanding the ratio"
when students incorrectly add or subtract fractions by summing both numerators and denominators separately,MaE08,Number Operations,1,4/5+2/3=,4/5+2/3=6/8,22/15,,,,Ashlock (2006),The learner added the numerator and the denominators
when students incorrectly drop extra decimal digits directly into their answer when subtracting uneven decimals,MaE17,Number Operations,1,60-1.35=?,"60    
- 1.35
-----------
59.35",58.65,,,,Ashlock (2006),
"when students mistakenly perceive variables as labels or units, or associate their value with their alphabetical position",MaE46,"Variables, expressions, and operations",1,"The following question is about this expression:
   2n + 3
↑
The arrow above points to a symbol.
What does the symbol stand for?",The symbol stands for something which name starts with letter n.,The symbol can stand for any number.,,,,Asquith et al.  2007p. 11,
"when students make reversal order errors, swapping variables in equations, such as writing 2X=Y instead of X=2Y",MaE54,Equations and inequalities,1,"Write an equation using the variables S and P to represent the following statement: ""There are six times as many students as professors at this university"". Use S for the number of students and P for the number of professors.",6S=P,S=6P,,,,"Clement, J. (1982)
p. 3",
"when students struggle to represent key aspects and relationships in patterns, as seen in attempts like graphical representations missing key components",MaE35,"Patterns, relationships, and functions",2,Kyle and Andrew have the same number of candies. Kyle has a bowl of candies and 4 additional candies. Andrew has 14 candies. How many candies are in Kyle's bowl?,"[Graphical representation of Kyle's candies with one bowl and 4 candies aside; also, Andrew's candies represented with 14 dots but nothing else].","[A pictorial representation of Kyle's candies with one bowl having 10 pieces in it and 4 aside, representing the 4 additional candies. On the other side, Andrew's candies represented with 14 dots or candy shapes and matching the 4 separated candies from Kyle's with 4 from Andrew's, chowing so that there are 10 in Kyle's bowl because both kids have the same amount of candies, which is 14]",,MaE35-Ex2LA,MaE35-Ex2CA,"Scheuermann and van Garderen  (2008)
p. 5","Michael understood what representations were and how to use them, although Michael could depict accurate representations of the relationships in the problems, he was not consistently identifying or depicting all the relationships."
"When students multiply the numerator of the first fraction by the denominator of the second fraction, they write down only the unit digit of this product and mistakenly save the tens digit for later use, then they multiply the denominator of the first fraction by the numerator of the second one and add the saved tend digit, obtaining an integer number instead of a fraction.",MaE12,Number Operations,1,4/5*3/4=,4/5*3/4=166,3/5,,,,Ashlock (2006),
when students mistakenly switch variables when transposing expressions involving subtraction,MaE45,"Variables, expressions, and operations",2,"Write the expression that represents: “Tachi is exactly one year older than Bill” if T represented Tachi’s age and B, Bill’s age.",B-T=1,T=B+1,,,,"Capraro, M. M., & Joffrion, H. 2006
p.18",The learner transposed the variables
when students get confusion over operation symbols and their meanings in algebra,MaE53,Equations and inequalities,1,"Mary's basic wage is $20 per week. She is also paid another $2 for each hour of over-time she works.
If H stands for the number of hours of overtime Mary works and if W stands for her total wage, write an equation for finding Mary's total wage.","I don't need to write an equation, I just have to analyze that
1 week and 1 hour=20+2=22
2 weeks and 2 hours=40+4=44 and so on...",W=20+2H,,,,"Swafford & Langrall  2000
p. 6",The learner uses iteration rather than writing an equation to represent the problem symbolically
"when students misunderstand numerical exponent patterns, resorting to computation instead of recognizing generalizable patterns.",MaE03,Number sense,1,What digit is in the one’s place of the number: (2^9)(3^4)(5^6),The result must end in zero,"(2^9)(3^4)(5^6)=648000000
There is a zero in the ones place",,,,"Slavit, D. 2006
p. 3, 5
","The value of (2^9)(3^4)(5^6) is computed and the value of the one’s place identified. However, students could also identify a factor of 10 present in the product, either through initial computation or by an examination of the factors, and recognize that the value of the product must end in zero."
"when students incorrectly invert the dividend instead of the divisor when dividing fractions, misunderstanding the 'invert and multiply' rule.",MaE15,Number Operations,4,5/8÷2/3=?,5/8÷2/3=8/5*2/3=16/15,15/16,,,,"Ashlock (2006)
p. 175",
